"StateFIPS","State","Year","Value","Data Comment","Age Group"
"11","District of Columbia","2012","19.4","","5 TO 9"
"11","District of Columbia","2012","Suppressed","","10 TO 14"
"11","District of Columbia","2012","Suppressed","","15 TO 17"
"11","District of Columbia","2013","Suppressed","","0 TO 4"
"11","District of Columbia","2013","19.2","","5 TO 9"
"11","District of Columbia","2013","13.9","","10 TO 14"
"11","District of Columbia","2013","18.9","","15 TO 17"
"11","District of Columbia","2014","Suppressed","","0 TO 4"
"11","District of Columbia","2014","16.8","","5 TO 9"
"11","District of Columbia","2014","22.0","","10 TO 14"
"11","District of Columbia","2014","Suppressed","","15 TO 17"
"11","District of Columbia","2015","Suppressed","","0 TO 4"
"11","District of Columbia","2015","Suppressed","","5 TO 9"
"11","District of Columbia","2015","23.6","","10 TO 14"
"11","District of Columbia","2015","Suppressed","","15 TO 17"
"11","District of Columbia","2016","Data Not Collected","","0 TO 4"
"11","District of Columbia","2016","Data Not Collected","","5 TO 9"
"11","District of Columbia","2016","Data Not Collected","","10 TO 14"
"11","District of Columbia","2016","Data Not Collected","","15 TO 17"
"11","District of Columbia","2017","11.2","","0 TO 4"
"11","District of Columbia","2017","Suppressed","","5 TO 9"
"11","District of Columbia","2017","13.4","","10 TO 14"
"11","District of Columbia","2017","13.5","","15 TO 17"
"11","District of Columbia","2018","4.7","","0 TO 4"
"11","District of Columbia","2018","9.5","","5 TO 9"
"11","District of Columbia","2018","17.9","","10 TO 14"
"11","District of Columbia","2018","14.1","","15 TO 17"
"11","District of Columbia","2019","Suppressed","","0 TO 4"
"11","District of Columbia","2019","12.7","","5 TO 9"
"11","District of Columbia","2019","13.6","","10 TO 14"
"11","District of Columbia","2019","Suppressed","","15 TO 17"
"11","District of Columbia","2020","Suppressed","","0 TO 4"
"11","District of Columbia","2020","11.3","","5 TO 9"
"11","District of Columbia","2020","14.7","","10 TO 14"
"11","District of Columbia","2020","Suppressed","","15 TO 17"
"12","Florida","2011","Data Not Collected","","0 TO 4"
"12","Florida","2011","Data Not Collected","","5 TO 9"
"12","Florida","2011","Data Not Collected","","10 TO 14"
"12","Florida","2011","Data Not Collected","","15 TO 17"
"12","Florida","2012","Data Not Collected","","0 TO 4"
"12","Florida","2012","Data Not Collected","","5 TO 9"
"12","Florida","2012","Data Not Collected","","10 TO 14"
"12","Florida","2012","Data Not Collected","","15 TO 17"
